file_path,label
data/raw_audio/labeled/orca/OS_7_05_2019_07_54_00_.wav,1
data/raw_audio/labeled/orca/OS_7_05_2019_08_54_00_.wav,1
data/raw_audio/labeled/orca/OS_7_05_2019_09_24_00_.wav,1
data/raw_audio/labeled/orca/OS_9_27_2017_08_03_00_.wav,1
data/raw_audio/labeled/orca/OS_9_27_2017_08_09_00_.wav,1
data/raw_audio/labeled/orca/OS_9_27_2017_08_14_00_.wav,1
data/raw_audio/labeled/orca/OS_9_27_2017_08_19_00_.wav,1
data/raw_audio/labeled/orca/OS_9_27_2017_08_25_00_.wav,1
data/raw_audio/labeled/orca/OS_9_27_2017_08_30_00_.wav,1
data/raw_audio/labeled/orca/OS_9_27_2017_08_35_00_.wav,1
data/raw_audio/labeled/orca/OS_9_27_2017_08_46_00_.wav,1
data/raw_audio/labeled/orca/OS_9_27_2017_08_57_00_.wav,1
data/raw_audio/labeled/orca/OS_9_27_2017_09_02_00_.wav,1
data/raw_audio/labeled/orca/OS_9_27_2017_09_18_00_.wav,1
data/raw_audio/labeled/orca/OS_9_27_2017_09_23_00_.wav,1
data/raw_audio/labeled/orca/OS_9_27_2017_09_34_00_.wav,1
data/raw_audio/labeled/orca/OS_9_27_2017_09_45_00_.wav,1
data/raw_audio/labeled/orca/OS_9_27_2017_09_50_00_.wav,1
data/raw_audio/labeled/orca/OS_9_27_2017_09_56_00_.wav,1
data/raw_audio/labeled/orca/OS_9_27_2017_10_01_00_.wav,1
data/raw_audio/labeled/orca/OS_9_27_2017_10_07_00_.wav,1
data/raw_audio/labeled/orca/OS_9_27_2017_10_12_00_.wav,1
data/raw_audio/labeled/orca/OS_9_27_2017_10_17_00_.wav,1
data/raw_audio/labeled/orca/OS_9_27_2017_10_23_00_.wav,1
data/raw_audio/labeled/orca/OS_9_27_2017_10_28_00_.wav,1
data/raw_audio/labeled/orca/OS_9_27_2017_10_33_00_.wav,1
data/raw_audio/labeled/orca/OS_9_27_2017_10_39_00_.wav,1
data/raw_audio/labeled/orca/OS_9_27_2017_10_44_00_.wav,1
data/raw_audio/labeled/orca/OS_9_27_2017_10_49_00_.wav,1
data/raw_audio/labeled/orca/OS_9_27_2017_10_55_00_.wav,1
data/raw_audio/labeled/orca/OS_9_27_2017_11_00_00_.wav,1
data/raw_audio/labeled/orca/OS_9_27_2017_11_05_00_.wav,1
data/raw_audio/labeled/orca/OS_9_27_2017_11_11_00_.wav,1
data/raw_audio/labeled/orca/OS_9_27_2017_11_16_00_.wav,1
data/raw_audio/labeled/orca/OS_9_27_2017_11_21_00_.wav,1
data/raw_audio/labeled/orca/OS_9_27_2017_11_26_00_.wav,1
data/raw_audio/labeled/orca/OS_9_27_2017_11_32_00_.wav,1
data/raw_audio/labeled/orca/OS_9_27_2017_11_37_00_.wav,1
data/raw_audio/labeled/orca/OS_9_27_2017_11_42_00_.wav,1
data/raw_audio/labeled/orca/OS_9_27_2017_11_48_00_.wav,1
data/raw_audio/labeled/orca/OS_9_27_2017_11_53_00_.wav,1
data/raw_audio/labeled/orca/OS_9_27_2017_11_58_00_.wav,1
